id,키워드,url,date,year,content,user,replyCount,"Pesan yang dikirim dengan isyarat lisan/non-lisan dan gerakan tidak selalu menghasilkan hasil yang sesuai dengan yang dimaksudkan oleh pengirim, membawa arti dan wawasan yang sama sekali berbeda terhadap konsep yang dikirim. Oleh karena itu, distorsi terjadi ketika audiens tidak dapat memahami konsep memiliki sudut pandang yang berbeda terhadap kesimpulan itu sendiri. Distorsi tersebut dapat disebabkan oleh usia, jenis kelamin, agama, ras, pandangan politik, etnis, kelas, budaya, dan suasana hati di mana audiens menerima pesan, dan sebagainya.",likeCount,quoteCount,contentLen
1,buku terjemahan korea,https://twitter.com/springforjin/status/1608113282581417984,9.50 PM · 28 Des 2022,2022,"Review buku Kakakku, Bongsoon by Gong Ji Young◾

✨autobiography novel is more than emotion✨

Dikemas penuturan sederhana penulis terjemahan luwes buat pembaca mudah masygul akan kehidupan sosial era 1960-an Korea Selatan & berpusat tokoh"" perempuan lewat sorotan anak kecil",@springforjin,1,7,21,0,273
2,buku terjemahan korea,https://twitter.com/springforjin/status/1608113318463705088,9.51 PM · 28 Des 2022,2022,"Baca kisah klasik ini membuatku meringis bagaimana perbedaan tumpang tindihnya jalan kehidupan satu orang  dengan yang lainnya, Gong Ji Young berhasil mendeskripsikan suasana kehidupan Korea Selatan era 1960-an dengan gambaran sederhana nan hidup aku menyukainya😍",@springforjin,1,0,1,0,264
3,buku terjemahan korea,https://twitter.com/springforjin/status/1608113323136143363,9.51 PM · 28 Des 2022,2022,"Dengan alur yang tidak terlalu fast paced, jalan cerita yang agak kompleks serta beragam topik yg dapat dieksplorasi tetap bisa dibaca dengan nyaman karena suguhan cerita yang disampaikan tidak muluk-muluk on point dan tidak riweuh untuk memahaminya❤️❤️❤️",@springforjin,1,0,1,0,255
4,buku terjemahan korea,https://twitter.com/springforjin/status/1608113348893347846,9.51 PM · 28 Des 2022,2022,Ada kutipan favorit di mana ayah Jjang mendukung Jjang sebagai perempuan yang bisa mengerjakan apa yg dikerjakan pria bahkan bisa lebih dari itu✨,@springforjin,1,0,1,0,145
5,buku terjemahan korea,https://twitter.com/springforjin/status/1608113354312413184,9.51 PM · 28 Des 2022,2022,"Aku menyukai bagaimana penulis mengemukakan bagaimana jalinan kehidupan tokoh"" perempuan satu sama lain yg diceritakan selain Bongsoon dan Jjang,  ada juga Ibunya Jjang juga pembantu seperti Bongsoon turut hadir lewat kacamata anak kecil baru kali ini menemukan cerita seperti ini",@springforjin,1,0,1,0,280
6,buku terjemahan korea,https://twitter.com/springforjin/status/1608113358548656129,9.51 PM · 28 Des 2022,2022,"Terima kasih 
@penerbitharu
 yang sudah beri kesempatan baca buku ini aku mendapat perspektif baru soal ragam kejadian"" sosial yg terjadi di negara luar tahun 1960 dan terima kasih jasa Kak 
@ghlouisatk
 asik sekali baca hasil terjemahan Kakak aku tidak kesulitan baca kisah klasik😊",@springforjin,0,1,1,0,283
7,buku terjemahan korea,https://twitter.com/lavacaxe/status/1607264000919891970,1.36 PM · 26 Des 2022,2022,"Halo kak, makasih ya buat giveaway bukunya. Kenapa aku mau bukunya? Soalnya akhir2 ini aku mau mulai baca buku lagi, dan banyak tertarik sama buku terjemahan. Beberapa buku di shelf digital aku juga kebanyakan buku penulis korea, jadinya pengen coba baca yg ini juga. Wish me luck",,0,0,0,0,280
8,buku terjemahan korea,https://twitter.com/literarybase/status/1696214470501011835,12.33 AM · 29 Agt 2023,2023,lt guys mention buku terjemahan korea yg ada di gramdig dongg self improvement gtgtt,@literarybase,2,0,1,5,84
9,buku terjemahan korea,https://twitter.com/literarybase/status/1691668113614614655,11.28 AM · 16 Agt 2023,2023,lt drop buku Korea terjemahan favorit kalian dong!!,@literarybase,9,2,22,11,51
10,buku terjemahan korea,https://twitter.com/literarybase/status/1690387535657373697,10.39 PM · 12 Agt 2023,2023,"Sender lagi tertarik buku self improvement terjemahan korea, yg udah baca buku-buku ini boleh kasih sedikit reviewnya?",@literarybase,0,1,5,3,118
11,buku terjemahan korea,https://twitter.com/literarybase/status/1519188011908763648,12.33 PM · 27 Apr 2022,2022,"/lt temen2 yg suka baca buku/literatur jepang, china atau korea lebih prefer terjemahan bahasa inggris apa bahasa indonesia? Ada rekomendasi buku yg terjemahannya enak? Makasiih",@literarybase,13,3,9,4,177
